Rank Only,Rank Change,Name,Assoc,Points
161,,Hugo DESCHAMPS,FRA,111
162,,NIU Guankai,CHN,110
163,,Maksim GREBNEV,RUS,108
164,,David SERDAROGLU,AUT,107
165,,Adrien RASSENFOSSE,BEL,106
166,,Hayate SUZUKI,JPN,104
167,,Ievgen PRYSHCHEPA,UKR,104
168,,Nima ALAMIAN,IRI,103
169,,Ali ALKHADRAWI,KSA,102
170,,Jeremy HAZIN,CAN,100
171,,Finn LUU,AUS,99
172,,Iulian CHIRITA,ROU,98
173,,Mihai BOBOCICA,ITA,97
174,,Takuya JIN,JPN,96
175,,Mohamed SHOUMAN,EGY,95
176,,Aboubaker BOURASS,TUN,95
177,,Adam SZUDI,HUN,95
178,,PARK Ganghyeon,KOR,94
179,,YAN Sheng,CHN,93
180,,Anders LIND,DEN,93
181,,Vincent PICARD,FRA,93
182,↑1,Oba Kizito OBA,CIV,90
183,↑1,Dean SHU,NZL,90
184,↑1,Ocean BELROSE,PYF,90
185,↑1,Geoffrey LOI,PNG,90
186,↑1,Kelsey AMOR,NZL,90
187,↑1,Dario ARCE,MEX,90
188,↑1,Antoine HACHARD,FRA,90
189,↑1,Nicolas BURGOS,CHI,89
190,↓8,Payas JAIN,IND,88
191,,Juan Jesus GOMEZ,MEX,87
192,,Marek BADOWSKI,POL,87
193,,LI Hon Ming,HKG,87
194,,Samuel KULCZYCKI,POL,82
195,,Pavel PLATONOV,BLR,80
196,,Angel NARANJO,PUR,80
197,,Theo COGILL,RSA,79
198,,Amin AHMADIAN,IRI,79
199,,YU Ziyang,CHN,78
200,,Aleksandr KHANIN,BLR,78
201,,Gustavo GOMEZ,CHI,77
202,,Nandor ECSEKI,HUN,77
203,,Alexander CHEN,AUT,76
204,,Bastien REMBERT,FRA,76
205,,Jorge CAMPOS,CUB,75
206,,Darara Mokonen DUFERA,ETH,75
207,,OH Junsung,KOR,75
208,,KIM Taehyun,AUT,75
209,,Mohammed ABDULWAHHAB,QAT,75
210,,Chetan NATHOO,RSA,74
211,,Darius MOVILEANU,ROU,74
212,,Ioannis SGOUROPOULOS,GRE,73
213,,Tamas LAKATOS,HUN,73
214,,Sanil SHETTY,IND,73
215,,Dimitrije LEVAJAC,SRB,73
216,,Andreas LEVENKO,AUT,72
217,,Sora MATSUSHIMA,JPN,71
218,,Jiri MARTINKO,CZE,71
219,,Lei KOU,UKR,70
220,,Andrei ISTRATE,ROU,68
221,,Alexandre ROBINOT,FRA,67
222,,Jishan LIANG ,USA,67
223,,Mudit DANI,IND,67
224,,Esteban DORR,FRA,67
225,,Thiago MONTEIRO,BRA,66
226,,HUANG Youzheng,CHN,66
227,,Daniele PINTO,ITA,66
228,,Eric GLOD,LUX,66
229,,Larbi BOURIAH,ALG,65
230,,Sami KHEROUF,ALG,65
231,,CHANG Yu-An,TPE,65
232,,Vladimir SIDORENKO,RUS,64
233,,Alan KURMANGALIYEV,KAZ,64
234,,Frane KOJIC,CRO,64
235,,ZHANG Yudong,CHN,62
236,,Vladislav URSU,MDA,60
237,,LIN Yen-Chun,TPE,60
238,,Jakub ZELINKA,SVK,60
239,,Kai ZHANG,USA,59
240,,Abdelbasset CHAICHI,ALG,59
241,,Luka MLADENOVIC,LUX,59
242,,Shady MAGDY,EGY,55
243,,Brian CHAN YOOK FO,MRI,55
244,,Azeez SOLANKE,NGR,55
245,,Nikhil KUMAR,USA,55
246,,Alex NAUMI,FIN,55
247,,Tobias HIPPLER,GER,55
248,,Jeet CHANDRA,IND,55
249,,Hunor SZOCS,ROU,55
250,,Jo YOKOTANI,JPN,54
251,,Csaba ANDRAS,HUN,54
252,,John OYEBODE,ITA,54
253,,CHUA Josh Shao Han,SGP,52
254,,Francisco SANCHI,ARG,51
255,,Alfonso OLAVE,CHI,51
256,,Tarek AL-SAMHOURY,AUT,51
257,,Maciej KOLODZIEJCZYK,AUT,50
258,,Oscar BIRRIEL,PUR,49
259,,Benno OEHME,GER,49
260,,Kokou Dodji FANNY,TOG,47
261,,LEE Hoyun,KOR,47
262,,Elias RANEFUR,SWE,46
263,,David POWELL,AUS,45
264,,Alejandro TORANZOS,PAR,45
265,,Mohamed Sofiene BOUDJADJA,ALG,45
266,,Samuel BOBOYE,NGR,45
267,,Heimanarii LAFORTUNE,PYF,45
268,,Vicky WU,FIJ,45
269,,Bydhir CARNET,PYF,45
270,,Ange-Aime KOUASSI,CIV,45
271,,Adrian SOH,NZL,45
272,,Bei Yan ZHANG,FIJ,45
273,,Eday GOMEZ ROJAS,CUB,45
274,,Salim KARAM,MAR,45
275,,Aditya SAREEN,AUS,45
276,,HWANG Minha,KOR,45
277,,CHAN Baldwin Ho Wah,HKG,45
278,,BEH Kun Ting,SGP,45
279,,Laurens DEVOS,BEL,45
280,,Ivor BAN,CRO,45
281,,Jordy PICCOLIN,ITA,44
282,,Tom CLOSSET,BEL,43
283,,Milosz REDZIMSKI,POL,43
284,,KWAN Man Ho,HKG,43
285,,Alexander SHIBAEV,RUS,42
286,,Rodrigo TAPIA,ECU,42
287,,Dragos BUJOR,ROU,42
288,↑39,Navid SHAMS,IRI,42
289,↓1,Amalraj ANTHONY,IND,42
290,↓1,Zokhid KENJAEV,UZB,41
291,↓1,Carlos CABALLERO,ESP,41
292,↓1,Thibault PORET,FRA,41
293,↓1,Mohamed AZZAM,EGY,40
294,↓1,Carlos FERNANDEZ,PER,40
295,↓1,Aidos KENZHIGULOV,KAZ,40
296,↓1,Borgar HAUG,NOR,39
297,↓1,Carlo ROSSI,ITA,39
298,↓1,PENG Wang-Wei,TPE,39
299,↓1,Sadi ISMAILOV,RUS,38
300,↓1,Adam KLAJBER,SVK,38
301,↓1,Naif AL-JADAI,KSA,37
302,↓1,Pavel SIRUCEK,CZE,37
303,↓1,Emiliano RIOFRIO,ECU,37
304,↓1,PAU Yik Man,HKG,37
305,↓1,Wenzhang TAO ,USA,36
306,↓1,Rafael TURRINI,BRA,35
307,↓1,Flavien COTON,FRA,35
308,↓1,WANG Tingyu,CHN,35
309,↓1,Leonardo MUTTI,ITA,35
310,↓1,Carlos ISHIDA,BRA,34
311,↓1,Robin DEVOS,BEL,34
312,↓1,Abdulaziz BU SHULAYBI,KSA,34
313,↓1,Mahmoud HELMY,EGY,33
314,↓1,Lev KATSMAN,RUS,32
315,↓1,WANG Chen-You,TPE,32
316,↓1,Iskender KHARKI,KAZ,32
317,↓1,Jan VALENTA,CZE,32
318,↓1,Charles BANDA,ZAM,31
319,↓1,Youssef ABDEL-AZIZ,EGY,31
320,↓1,Mishel LEVINSKI,USA,31
321,↓1,Simon BELIK,CZE,30
322,↓1,TAN Lucas,SGP,30
323,↓1,Andrei PUTUNTICA,MDA,30
324,↓1,Zsolt PETO,SRB,29
325,↓1,Joe SEYFRIED,FRA,29
326,↑45,Amirmahdi KESHAVARZI,IRI,29
327,↓2,Lleyton ULLMANN,GER,29
328,↓2,Matteo MUTTI,ITA,29
329,↓1,Adam HMAM,TUN,28
330,↓1,WOO Hyeonggyu,KOR,28
331,↓1,Peter HRIBAR,SLO,28
332,↓1,KWON Hyuk,KOR,27
