Rank Only,Rank Change,Name,Assoc,Points
141,↑3,Gustavo GOMEZ, CHI ,126
142,↑3,Jishan LIANG , USA ,121
143,↑13,Darius MOVILEANU, ROU ,121
144,↓1,Kilian ORT, GER ,118
145,↓5,ZENG Beixun, CHN ,117
146,↑9,Deni KOZUL, SLO ,116
147,,Elias RANEFUR, SWE ,114
148,↓6,Emmanuel LEBESSON, FRA ,114
149,↑15,Fabio RAKOTOARIMANANA, MAD ,113
150,↓2,Alfred DELA PENA, NZL ,110
151,↓2,Jeremy DEY, NCL ,110
152,↓2,Keishi HAGIHARA, JPN ,110
153,↓2,Vincent PICARD, FRA ,109
154,↓2,Snehit SURAVAJJULA, IND ,108
155,↓2,Andrei ISTRATE, ROU ,108
156,↓10,Matteo MUTTI, ITA ,106
157,,Satoshi AIDA, JPN ,102
158,,Tomas POLANSKY, CZE ,101
159,,Bode ABIODUN, NGR ,100
160,↑11,CHEW Zhe Yu Clarence, SGP ,100
161,↓1,PENG Wang-Wei, TPE ,97
162,↓1,HO Kwan Kit, HKG ,96
163,↓1,Thibault PORET, FRA ,93
164,↓1,Joe SEYFRIED, FRA ,93
165,↑16,Tom JARVIS, ENG ,93
166,↑4,Manush Utpalbhai SHAH, IND ,93
167,↓2,Sami KHEROUF, ALG ,92
168,,Dillon CHAMBERS, AUS ,90
169,,Roger WANG, NZL ,90
170,↑2,Kazuhiro YOSHIMURA, JPN ,88
171,↑3,Simon BELIK, CZE ,88
172,↓5,Cedric MEISSNER, GER ,87
173,↑2,Jon PERSSON, SWE ,85
174,↑2,WOO Hyeonggyu, KOR ,84
175,↑2,PARK Gyuhyeon, KOR ,84
176,↑22,Samuel KULCZYCKI, POL ,83
177,↑1,Amadi OMEH, NGR ,81
178,↑1,Leonardo IIZUKA, BRA ,81
179,↑1,Gaston ALTO, ARG ,79
180,↑2,Payas JAIN, IND ,79
181,↑59,Nima ALAMIAN, IRI ,78
182,↑1,Florent LAMBIET, BEL ,78
183,↑1,Aly GHALLAB, EGY ,77
184,↑1,Luke ABRAHAMS, RSA ,75
185,↑1,Mateusz ZALEWSKI, POL ,75
186,↑7,Angel NARANJO, PUR ,75
187,,Sid NARESH, USA ,74
188,,Amirmahdi KESHAVARZI, IRI ,74
189,,Kazuki YOSHIYAMA, JPN ,72
190,↓17,CAO Wei, CHN ,72
191,↓25,PARK Ganghyeon, KOR ,72
192,↓2,Yaroslav ZHMUDENKO, UKR ,71
193,↓2,Hugo GENDRON, PYF ,70
194,↓2,Leo DE NODREST, FRA ,70
195,↓1,Bastien REMBERT, FRA ,69
196,,Chetan NATHOO, RSA ,65
197,↓2,Mohamed SHOUMAN, EGY ,65
198,↓1,Oba Kizito OBA, CIV ,65
199,,ZHAO Zihao, CHN ,65
200,,Andre BERTELSMEIER, GER ,65
201,↑43,Dimitrije LEVAJAC, SRB ,65
202,↓1,Borgar HAUG, NOR ,65
203,↓1,YEH Chih-Wei, TPE ,64
204,,Samuel WALKER, ENG ,64
205,,Luka MLADENOVIC, LUX ,63
206,,Juan PEREZ, ESP ,62
207,,Yuto KIZUKURI, JPN ,61
208,,GIL Minseok, KOR ,60
209,,KIM Gaon, KOR ,59
210,,Juan Jesus GOMEZ, MEX ,58
211,,Alan KURMANGALIYEV, KAZ ,58
212,↓9,Rares SIPOS, ROU ,56
213,↑1,YIU Kwan To, HKG ,56
214,↑1,Mahmoud HELMY, EGY ,55
215,↑1,Derek NYOH OFON, CMR ,55
216,↑29,Adam SZUDI, HUN ,55
217,,Navid SHAMS, IRI ,55
218,↓6,Takuya JIN, JPN ,54
219,↓1,Jeet CHANDRA, IND ,54
220,↓1,CHEN Chien-An, TPE ,54
221,↑80,Tamas LAKATOS, HUN ,53
222,↑42,Peter HRIBAR, SLO ,53
223,↓69,NIU Guankai, CHN ,52
224,↓4,Celian BESNIER, FRA ,52
225,↓12,Jiri MARTINKO, CZE ,52
226,↓5,John OYEBODE, ITA ,52
227,↓4,Maciej KOLODZIEJCZYK, AUT ,52
228,↓6,Iulian CHIRITA, ROU ,52
229,↓5,Tom CLOSSET, BEL ,51
230,↓5,LIN Yen-Chun, TPE ,50
231,↓5,Benyamin FARAJI, IRI ,50
232,↓5,CHANG Yu-An, TPE ,49
233,↑61,Carlos ISHIDA, BRA ,48
234,↓6,Nandor ECSEKI, HUN ,47
235,↓5,Afshin NOROOZI, IRI ,45
236,↓5,Mawussi AGBETOGLO, TOG ,45
237,↓8,Emiliano RIOFRIO, ECU ,45
238,↓6,Maxwell HENDERSON, NZL ,45
239,↓6,Timothy CHOI, NZL ,45
240,↓6,Stephen RAVONISON, MAD ,45
241,↓6,Jonathan NATIVEL, MAD ,45
242,↓6,Darara Mokonen DUFERA, ETH ,45
243,↓6,Jiaji WU , DOM ,45
244,↓6,Vicky WU, FIJ ,45
245,↓6,PARK Gyeongtae, KOR ,45
246,↓5,Felix WETZEL, MLT ,45
247,↓4,Carlo ROSSI, ITA ,45
248,↓1,CHUA Josh Shao Han, SGP ,42
249,↓1,Carlos FERNANDEZ, PER ,41
250,↓1,JANG Seongil, KOR ,41
251,↓1,Oscar BIRRIEL, PUR ,41
252,↓1,ZHAI Jiale, CHN ,40
253,↓1,Jakub ZELINKA, SVK ,40
254,↓1,Dragos BUJOR, ROU ,40
255,↓9,Flavien COTON, FRA ,40
256,↓2,Hwan BAE, AUS ,39
257,↓2,LEE Seungsoo, KOR ,39
258,↓2,CHEN Hengda, CHN ,39
259,↑16,Nandan NARESH, USA ,39
260,↓3,Jordy PICCOLIN, ITA ,38
261,↓3,KUO Guan-Hong, TPE ,37
262,↓3,PAU Yik Man, HKG ,37
263,↓21,Benno OEHME, GER ,37
